content,name,article
Ｙ１３＝０．０２１
α第１号算式の符号αに同じ
Ｚｎ平成ｎ年度において発行について同意又は許可を得た臨時地方道整備事業に係る地方債（総務大臣の指定する充当の率を超える部分に係るものを除く。）のうちふるさと農道緊急整備事業に係るもの（平成１４年度から平成２０年度までの各年度において財源対策のため発行について同意又は許可を得た地方債として総務大臣が指定するものを除く。）の額に相当する額
ＡＡ１４＝０．０２１
ＡＡ１５＝０．０２０
ＡＡ１６＝０．０２０
ＡＡ１７＝０．０１７
ＡＡ１８＝０．０２０
ＡＡ１９＝０．０１９
ＡＡ２０＝０．０１９
ＡＢｎ平成ｎ年度において発行について同意又は許可を得た臨時地方道整備事業に係る地方債（総務大臣の指定する充当の率を超える部分に係るものを除く。）のうちふるさと農道緊急整備事業に係るものの額（平成８年度から平成２０年度までの各年度において財源対策のため発行について同意又は許可を得た地方債の額として総務大臣が指定するものに限る。）
ＡＣ８＝０．０２６
ＡＣ９＝０．０２６
ＡＣ１０＝０．０２０
ＡＣ１１＝０．０２４
ＡＣ１２＝０．０３６
ＡＣ１３＝０．０７１
ＡＣ１４＝０．０３６
ＡＣ１５＝０．０３３
ＡＣ１６＝０．０３３
ＡＣ１７＝０．０２８
ＡＣ１８＝０．０３３
ＡＣ１９＝０．０３２
ＡＣ２０＝０．０３２
ＡＤｎ平成ｎ年度において単独農道及びふるさと一般農道整備事業（一般単独（一般）事業債の起債対象とされた農道整備事業をいう。以下この表において同じ。）に係る経費に充てるため発行を許可された地方債（総務大臣の指定する充当の率を超える部分に係るものを除く。）の額に相当する額
ＡＥ１３＝０．０１８
ＡＦｎ平成ｎ年度において発行について同意又は許可を得た地方道路等整備事業に係る地方債（総務大臣の指定する充当の率を超える部分に係るものを除く。）のうちふるさと農道緊急整備事業に係るもの（平成２１年度から平成２４年度までの各年度において財源対策のため発行について同意又は許可を得た地方債として総務大臣が指定するものを除く。）の額に相当する額（平成２２年度から平成２４年度までの各年度において発行について同意又は許可を得たものについては、平成２１年度以前に着手した継続の事業等の地方債の額として総務大臣が調査したものに限る。）
ＡＧ２１＝０．０２０
ＡＧ２２＝０．０２０
ＡＧ２３＝０．０１６
ＡＧ２４＝０．０１５
ＡＨｎ平成ｎ年度において発行について同意又は許可を得た地方道路等整備事業に係る地方債（総務大臣の指定する充当の率を超える部分に係るものを除く。）のうちふるさと農道緊急整備事業に係るものの額（平成２１年度から平成２４年度までの各年度において財源対策のため発行について同意又は許可を得た地方債の額として総務大臣が指定するものに限る。）
ＡＩ２１＝０．０３３
ＡＩ２２＝０．０３３
ＡＩ２３＝０．０２６
ＡＩ２４＝０．０２５
七林野行政費
公有以外の林野の面積
算式
算式の符号
Ａ測定単位の数値
Ｂｎ平成ｎ年度において発行を許可された臨時地方道整備事業に係る地方債（総務大臣の指定する充当の率を超える部分に係るものを除く。）のうちふるさと林道緊急整備事業に係るもの（平成８年度から平成１３年度までの各年度において財源対策のため発行を許可された地方債として総務大臣が指定するものを除く。）の額に相当する額
Ｃ８＝０．００８
Ｃ９＝０．００８
Ｃ１０＝０．００６
Ｃ１１＝０．００７
Ｃ１２＝０．０１１
Ｃ１３＝０．０２１
α第１号算式の符号αに同じ
Ｄｎ平成ｎ年度において発行について同意又は許可を得た臨時地方道整備事業に係る地方債（総務大臣の指定する充当の率を超える部分に係るものを除く。）のうちふるさと林道緊急整備事業に係るもの（平成１４年度から平成２０年度までの各年度において財源対策のため発行について同意又は許可を得た地方債として総務大臣が指定するものを除く。）の額に相当する額
Ｅ１４＝０．０２１
Ｅ１５＝０．０２０
Ｅ１６＝０．０２０
Ｅ１７＝０．０２０
Ｅ１８＝０．０２０
Ｅ１９＝０．０１９
Ｅ２０＝０．０１９
Ｆｎふるさと一般林道整備事業に係る経費に充てるため平成ｎ年度において発行を許可された地方債（総務大臣の指定する充当の率を超える部分に係るものを除く。）の額に相当する額
Ｇ８＝０．０００
Ｇ９＝０．０００
Ｇ１０＝０．０００
Ｇ１１＝０．０１２
Ｇ１２＝０．０１９
Ｇ１３＝０．０１９
Ｈｎ平成ｎ年度において発行について同意又は許可を得た臨時地方道整備事業に係る地方債（総務大臣の指定する充当の率を超える部分に係るものを除く。）のうちふるさと林道緊急整備事業に係るものの額（平成８年度から平成２０年度までの各年度において財源対策のため発行について同意又は許可を得た地方債の額として総務大臣が指定するものに限る。）
Ｉ８＝０．０２６
Ｉ９＝０．０２５
Ｉ１０＝０．０２０
Ｉ１１＝０．０２４
Ｉ１２＝０．０３６
Ｉ１３＝０．０７１
Ｉ１４＝０．０３６
Ｉ１５＝０．０３３
Ｉ１６＝０．０３３
Ｉ１７＝０．０３３
Ｉ１８＝０．０３３
Ｉ１９＝０．０３２
Ｉ２０＝０．０３２
Ｊｎ平成ｎ年度において発行について同意又は許可を得た一般補助施設整備等事業（一般分）に係る地方債のうち特定間伐等促進対策に係るものの額に相当する額
Ｋ２０＝０．０１９
Ｋ２１＝０．０２０
Ｋ２２＝０．０２０
Ｌｎ平成ｎ年度において発行について同意又は許可を得た地方道路等整備事業に係る地方債（総務大臣の指定する充当の率を超える部分に係るものを除く。）のうちふるさと林道緊急整備事業に係るもの（平成２１年度から平成２４年度までの各年度において財源対策のため発行について同意又は許可を得た地方債として総務大臣が指定するものを除く。）の額に相当する額（平成２２年度から平成２４年度までの各年度において発行について同意又は許可を得たものについては、平成２１年度以前に着手した継続事業の地方債の額として総務大臣が調査したものに限る。）の額に相当する額
Ｍ２１＝０．０２０
Ｍ２２＝０．０２０
Ｍ２３＝０．０１６
Ｍ２４＝０．０１５
Ｎｎ平成ｎ年度において発行について同意又は許可を得た地方道路等整備事業に係る地方債（総務大臣の指定する充当の率を超える部分に係るものを除く。）のうちふるさと林道緊急整備事業に係るものの額（平成２１年度から平成２４年度までの各年度において財源対策のため発行について同意又は許可を得た地方債の額として総務大臣が指定するものに限る。）
Ｏ２１＝０．０３３
Ｏ２２＝０．０３３
Ｏ２３＝０．０２６
Ｏ２４＝０．０２５
八地域振興費
人口
算式Ⅰ
算式Ⅰの符号
Ａ測定単位の数値
Ｂｎ緊急防災基盤整備事業に係る経費に充てるため平成ｎ年度において発行を許可された地方債（総務大臣の指定する充当の率を超える部分に係るものを除く。）の額に相当する額
Ｃ１１＝０．０３２
Ｃ１２＝０．０３２
Ｃ１３＝０．０３２
Ｄｎ防災対策事業（防災基盤整備事業分（特に推進すべきものを除く。））に係る経費に充てるため平成ｎ年度において発行について同意又は許可を得た地方債（総務大臣の指定する充当の率を超える部分に係るものを除く。）の額に相当する額
Ｅ１４＝０．０１９
Ｅ１５＝０．０２０
Ｅ１６＝０．０２０
Ｅ１７＝０．０１７
Ｅ１８＝０．０２０
Ｅ１９＝０．０１９
Ｅ２０＝０．０１９
Ｅ２１＝０．０２０
Ｅ２２＝０．０２０
Ｅ２３＝０．０１６
Ｅ２４＝０．０１５
Ｅ２５＝０．００２
Ｅ２６＝０．００２
Ｅ２７＝０．００１
Ｆｎ防災対策事業（防災基盤整備事業分（特に推進すべきもの））に係る経費に充てるため平成ｎ年度において発行について同意又は許可を得た地方債（総務大臣の指定する充当の率を超える部分に係るものを除く。）の額に相当する額
Ｇ１７＝０．０２８
Ｇ１８＝０．０３３
Ｇ１９＝０．０３２
Ｇ２０＝０．０３２
Ｇ２１＝０．０３３
Ｇ２２＝０．０３３
Ｇ２３＝０．０２６
Ｇ２４＝０．０２５
Ｇ２５＝０．００４
Ｇ２６＝０．００３
Ｇ２７＝０．００２
Ｈｎ防災対策事業（公共施設等耐震化事業分）に係る経費に充てるため平成ｎ年度において発行について同意又は許可を得た地方債（平成２１年度における建築物の耐震診断及び耐震改修の促進を図るための基本的な方針（平成１８年国土交通省告示第１８４号）に規定する構造耐震指標（以下「Ｉｓ値」という。）が０．３未満の施設を対象とした事業分及び総務大臣の指定する充当の率を超える部分に係るものを除く。）の額に相当する額
Ｉ１４＝０．０３１
Ｉ１５＝０．０３３
Ｉ１６＝０．０３３
Ｉ１７＝０．０２８
Ｉ１８＝０．０３３
Ｉ１９＝０．０３２
Ｉ２０＝０．０３２
Ｉ２１＝０．０３３
Ｉ２２＝０．０３３
Ｉ２３＝０．０２６
Ｉ２４＝０．０２５
Ｉ２５＝０．００４
Ｉ２６＝０．００３
Ｉ２７＝０．００２
Ｊｎ防災対策事業（公共施設等耐震化事業のうちＩｓ値が０．３未満の施設を対象とした事業分）に係る経費に充てるため平成ｎ年度において発行について同意又は許可を得た地方債（総務大臣の指定する充当の率を超える部分に係るものを除く。）の額に相当する額
Ｋ２１＝０．０４４
Ｋ２２＝０．０４４
Ｋ２３＝０．０３５
Ｋ２４＝０．０３３
Ｋ２５＝０．００５
Ｋ２６＝０．００４
Ｋ２７＝０．００２
Ｌｎ防災対策事業（旧緊急防災基盤整備事業（継続事業分））に係る経費に充てるため平成ｎ年度において発行を許可された地方債（総務大臣の指定する充当の率を超える部分に係るものを除く。）の額に相当する額
Ｍ１４＝０．０３１
Ｍ１５＝０．０３３
Ｍ１６＝０．０３３
Ｍ１７＝０．０２８
Ｎ国の施策に基づいて要請された金融支援として水俣病発生地域において水俣病の原因となる物質を排水した法人への無利子の貸付けに係る経費に充てるため、平成１２年度以降の各年度において発行について同意又は許可を得た地方債の当該年度における元利償還金（ただし、当該年度において水俣病の原因となる物質を排出した法人から償還される額を除く。）及び水俣病被害者の救済及び水俣病問題の解決に関する特別措置法（平成２１年法律第８１号）第５条に基づく一時金の支給に伴い、一時金支給資金に係る金融支援を行う法人への出資に係る経費に充てるため、当該年度の前年度までの各年度において発行について同意又は許可を得た地方債の当該年度における元利償還金（ただし、当該年度において一時金支給資金に係る金融支援を行う法人から償還される額を除く。）
Ｏｎ特定産業廃棄物に起因する支障の除去等に関する特別措置法（平成１５年法律第９８号）第６条の規定により、産業廃棄物不法投棄対策事業に係る経費に充てるため平成ｎ年度において発行について同意又は許可を得た地方債の額に相当する額
Ｐ１５＝０．０３３
Ｐ１６＝０．０３３
Ｐ１７＝０．０２８
Ｐ１８＝０．０３３
Ｐ１９＝０．０３２
Ｐ２０＝０．０３２
Ｐ２１＝０．０３３
Ｐ２２＝０．０３３
Ｑｎ民間資金等の活用による公共施設等の整備等の促進に関する法律（平成１１年法律第１１７号。以下「ＰＦＩ法」という。）第８条第１項の規定により、地方公共団体がＰＦＩ法第５条第１項の実施方針を定めて実施するＰＦＩ法第２条第４項に規定する選定事業を実施するものとして選定されたもの（以下「ＰＦＩ事業者」という。）が整備し、平成ｎ年度において供用を開始した公共施設等の施設整備費相当額（当該地方公共団体が当該施設を建設したとみなした場合に一般財源所要額として基準財政需要額に算入されるべき額の年次毎の合計額）として当該地方公共団体の長の申告に基づき総務大臣が通知した額
Ｒ１５＝０．０１２
Ｒ１６ア高知県に対して総務大臣が通知した額に係るもの
０．０２４
イア以外の総務大臣が通知した額に係るもの
０．０１２
Ｒ１７＝０．０１０
Ｒ１８ア北海道に対して総務大臣が通知した額のうちＡに係るもの０．０３１
イ北海道に対して総務大臣が通知した額のうちＢに係るもの０．０１８
ウ山梨県に対して総務大臣が通知した額に係るもの
０．０２４
エ兵庫県に対して総務大臣が通知した額に係るもの
０．０１８
Ｒ１９＝０．０１２
Ｒ２０＝０．０１２
Ｒ２１＝０．０１２
Ｒ２２＝０．０１１
Ｒ２３＝０．０１１
Ｒ２４ア新潟県に対して総務大臣が通知した額に係るもの０．０１１
イ徳島県に対して総務大臣が通知した額のうちＡに係るもの０．０１６
ウ徳島県に対して総務大臣が通知した額のうちＢに係るもの０．０２７
Ｒ２５ア宮城県に対して総務大臣が通知した額のうちＡに係るもの０．０１１
イ宮城県に対して総務大臣が通知した額のうちＢに係るもの０．０１６
Ｒ２６＝０．０１２
Ｓｎ石綿対策事業に係る経費に充てるため平成ｎ年度において発行について同意又は許可を得た地方債（総務大臣の指定する充当の率を超える部分に係るものを除く。）の額に相当する額
Ｔ１７＝０．０２２
Ｔ１８＝０．０２６
Ｔ１９＝０．０２６
Ｔ２０＝０．０２６
Ｔ２１＝０．０２６
Ｔ２２＝０．０２６
Ｕｎ公共施設等地上デジタル放送移行対策事業に係る経費に充てるため平成ｎ年度において発行について同意又は許可を得た一般単独（一般）事業債（発行について地方財政法第５条の３第６項の規定による届出がされた地方債のうち同条第１項の規定による協議を受けたならば同条第１０項に規定する基準に照らして同意をすることとなると認められるものとして総務大臣が指定するものを含む。以下同じ。）（総務大臣の指定する充当の率を超える部分に係るものを除く。）の額に相当する額
Ｖ２１＝０．０２０
Ｖ２２＝０．０２０
Ｖ２３＝０．０１６
Ｗｎ公共施設等地上デジタル放送移行対策事業に係る経費に充てるため平成ｎ年度において発行について同意又は許可を得た学校教育施設等整備事業債（発行について地方財政法第５条の３第６項の規定による届出がされた地方債のうち同条第１項の規定による協議を受けたならば同条第１０項に規定する基準に照らして同意をすることとなると認められるものとして総務大臣が指定するものを含む。以下同じ。）（小中学校分及び総務大臣の指定する充当の率を超える部分に係るものを除く。）の額に相当する額
Ｘ２１＝０．０２０
Ｘ２２＝０．０２０
Ｘ２３＝０．０１６
Ｙｎ津波避難対策緊急事業に係る経費に充てるため平成ｎ年度において発行について同意又は許可を得た地方債（総務大臣の指定する充当の率を超える部分に係るものを除く。）の額に相当する額
Ｚ２６＝０．００３
Ｚ２７＝０．００２
ＡＡｎ公共施設最適化事業に係る経費に充てるため平成ｎ年度において発行について同意又は許可を得た地方債（総務大臣の指定する充当の率を超える部分に係るものを除く。）の額に相当する額
ＡＢ２７＝０．００２
算式Ⅱ
算式Ⅱの符号
Ａ測定単位の数値
Ｂ流域下水道の整備事業、公共下水道幹線管渠等整備事業及び農業集落排水施設の整備事業に係る経費に充てるため昭和３４年度から平成１０年度までの各年度において発行を許可された地方債（災害復旧事業債、公害防止事業債、昭和４６年度、昭和４７年度、昭和５０年度から昭和６１年度までの各年度及び平成３年度から平成１０年度までの各年度において地方税の減収に伴い発行を許可された地方債、昭和５０年度から昭和５７年度までの各年度及び昭和５９年度において財政健全化のため発行を許可された地方債、財源対策債、昭和５０年度、昭和５２年度、昭和５３年度、昭和６１年度及び平成４年度から平成１０年度までの各年度において発行を許可された補正予算債、地域財政特例対策債、臨時財政特例債、公共事業等臨時特例債、平成６年度以降の各年度において国の補助金等の整理及び合理化に関する法律による投資的経費に係る国庫補助負担率の恒久化措置に伴う昭和５９年度国庫補助負担率と比較した場合の国庫補助金等の減少相当額の発行を許可された地方債（以下この表において「下水道事業債特例措置分」という。）、昭和４６年度以前の各年度において発行を許可された地方債で市場公募資金に係るもの及びその借換債、昭和５０年度以前の各年度において発行を許可された地方債で縁故資金に係るもの、供用開始前の施設又は供用開始後の施設のうち未利用部分に係る地方債の元利償還金に充てるため発行を許可された地方債、終末処理場、ポンプ場、下水道庁舎及び取付道路の施設を当該年度に設置するため必要となる単独用地に係る経費に充てるため発行を許可された地方債並びに地方債計画に計上されない地方債を除く。）の当該年度における元利償還金（この表市町村の項第６号算式の符号ＡＤの総務大臣が算定して通知した額の基礎となった元利償還金を除く。）
Ｃｎ流域下水道の整備事業、公共下水道幹線管渠等整備事業及び農業集落排水施設の整備事業に係る経費に充てるため平成ｎ年度において発行について同意又は許可を得た地方債（「平成１６年度の下水道事業債の取扱いについて」（平成１６年４月２０日付け総財経第９２号）により更新事業に区分された地方債（以下この号において「更新事業」という。）、災害復旧事業債、公害防止事業債、地方税の減収に伴い発行について同意又は許可を得た地方債、財政健全化のために発行を許可された地方債、臨時財政特例債、下水道資本費平準化債、下水道事業債特例措置分、下水道事業債臨時措置分、供用開始前の施設又は供用開始後の施設のうち未利用分に係る地方債の元利償還金に充てるため発行を許可された地方債、終末処理場、ポンプ場、下水道庁舎及び取付道路の施設を当該年度に設置するため必要となる単独用地に係る経費に充てるため発行を許可された地方債、地方債計画に計上されない地方債、東日本大震災復興特別区域法（平成２３年法律第１２２号）第７８条第２項に規定する交付金（以下この表において「復興交付金」という。）を受けて施行する公営企業復興事業に係る経費に充てるため平成２３年度から平成２７年度までの各年度に発行について同意又は許可を得た地方債、全国的に緊急に実施する公営企業緊急防災・減災事業に係る経費に充てるため平成２３年度から平成２７年度までの各年度に発行について同意又は許可を得た地方債、再生可能エネルギー発電設備の設置に係る経費に充てるため発行について同意又は許可を得た地方債並びに公営企業会計適用債を除く。）の額に相当する額（この表市町村の項第６号算式の符号ＡＤの総務大臣が算定して通知した額の基礎となった地方債の額を除く。以下算式の符号Ｅｎ、Ｇｎ、Ｉｎ及びＭｎにおいて同じ。）
Ｄ１１＝０．０２６
Ｄ１２＝０．０２５
Ｄ１３＝０．０２７
Ｄ１４＝０．０２４
Ｄ１５＝０．０２５
Ｄ１６＝０．０２５
Ｄ１７＝０．０２５
Ｄ１８＝０．０２５
Ｄ１９＝０．０２５
Ｄ２０＝０．０２５
Ｄ２１＝０．０２４
Ｄ２２＝０．０２４
Ｄ２３＝０．０１３
Ｄ２４＝０．０１２
Ｄ２５＝０．００５
Ｄ２６＝０．００４
Ｄ２７＝０．００２
Ｅｎ流域下水道の整備事業、公共下水道幹線管渠等整備事業及び農業集落排水施設の整備事業に係る経費に充てるため平成ｎ年度において発行について同意又は許可を得た地方債のうち更新事業に係るものの額に相当する額
Ｆ１６＝０．０１１
Ｆ１７＝０．０１１
Ｇｎ流域下水道の整備事業に係る経費に充てるため平成ｎ年度において発行について同意又は許可を得た地方債のうち下水道事業債臨時措置分（復興交付金を受けて施行する公営企業復興事業に係る経費に係るものを除く。）の額に相当する額
Ｈ１２＝０．０５０
Ｈ１３＝０．０５５
Ｈ１４＝０．０５１
Ｈ１５＝０．０５５
Ｈ１６＝０．０５６
Ｈ１７＝０．０５６
Ｈ１８＝０．０５６
Ｈ１９＝０．０５７
Ｈ２０＝０．０５７
Ｈ２１＝０．０５５
Ｈ２２＝０．０５４
Ｈ２３＝０．０２９
Ｈ２４＝０．０２８
Ｈ２５＝０．０１２
Ｈ２６＝０．０１０
Ｈ２７＝０．００４
Ｉｎ平成ｎ年度において発行について同意又は許可を得た下水道資本費平準化債（発行について地方財政法第５条の３第６項の規定による届出がされた地方債のうち同条第１項の規定による協議を受けたならば同条第１０項に規定する基準に照らして同意をすることとなると認められるものとして総務大臣が指定するものを含む。以下同じ。）の額に相当する額
Ｊ１６＝０．０３３
Ｊ１７＝０．０３０
Ｊ１８＝０．０３５
Ｊ１９＝０．０３６
Ｊ２０＝０．０３５
Ｊ２１＝０．０３５
Ｊ２２＝０．０３５
Ｊ２３＝０．０３４
Ｊ２４＝０．０３４
Ｊ２５＝０．００４
Ｊ２６＝０．００３
Ｊ２７＝０．００２
Ｋ都道府県知事の申告に基づき総務大臣が調査した当該年度における下水道資本費平準化債同意等見込額（地方財政法第５条の３第６項の規定による届出をして発行する見込みである地方債のうち同条第１項の規定による協議を受けたならば同条第１０項に規定する基準に照らして同意をすることとなると認められるものとして総務大臣が指定すると見込まれるものの額を含む。以下同じ。）（公害防止事業分を除く。）として総務大臣が通知した額
Ｌ日本下水道事業団からの下水汚泥広域処理事業の施設の地方団体への移管に係る地方債の当該年度における元利償還金を基礎として総務大臣が算定して通知した額
Ｍｎ流域下水道、公共下水道幹線管渠等及び農業集落排水施設の準建設改良費のうち地方公営企業法の財務規定等の適用に要する経費又は都道府県が行うこれらの事業に対する法令に基づく負担金に充てるため平成ｎ年度において発行について同意又は許可を得た地方債の額に相当する額
Ｎ２７＝０．００２
算式Ⅲ
算式Ⅲの符号
Ａ測定単位の数値
Ｂ昭和４４年度以降に建設された地下高速鉄道の建設に係る過年度分の事業費（ただし、Ｆに係るものを除く。）を基礎として総務大臣が算定して通知した額
Ｃ昭和４４年度以降に建設された地下高速鉄道の建設に係る当該年度分の事業費（ただし、Ｆに係るものを除く。）を基礎として総務大臣が算定して通知した額
Ｄｎ地下高速鉄道の建設に係る事業費（ただし、Ｆに係るものを除く。）の一部を補助する財源に充てるため平成ｎ年度において発行について同意又は許可を得た都市高速鉄道事業債（発行について地方財政法第５条の３第６項の規定による届出がされた地方債のうち同条第１項の規定による協議を受けたならば同条第１０項に規定する基準に照らして同意をすることとなると認められるものとして総務大臣が指定するものを含む。以下同じ。）の額のうち総務大臣が算定して通知した額
Ｅ１３＝０．０３１８
Ｅ１４＝０．０２１２
Ｅ１５＝０．０２４６
Ｅ１６＝０．０２５０
Ｅ１７＝０．０２５０
Ｅ１８＝０．０２５３
Ｅ１９＝０．０２５６
Ｅ２０＝０．０２５６
Ｅ２１＝０．０２４５
Ｅ２２＝０．０２４１
Ｅ２３＝０．０１３１
Ｅ２４＝０．０１２６
Ｅ２５＝０．００５４
Ｅ２６＝０．００４５
Ｅ２７＝０．００１８
Ｆ地方団体がその資本金その他これに準ずるもの（以下この表において「資本金等」という。）の２分の１以上を出資する株式会社（以下「第三セクター」という。）が行う地下高速鉄道の建設に係る事業費を基礎として総務大臣が算定して通知した額
Ｇ昭和４７年度から昭和５１年度までの各年度において発行を許可された地下鉄事業債の支払利息相当額を対象として昭和５８年度から平成４年度までの各年度において発行を許可された地方債（以下「地下鉄事業新特例債」という。）に係る当該年度における元金償還金
Ｈ昭和５８年度から平成２年度までの各年度において発行を許可された地下鉄建設事業債の支払利息相当額を対象として平成１５年度以降の各年度において発行を許可された地方債（以下「地下鉄事業続特例債」という。）及び平成３年度から平成１２年度までの各年度において発行を許可された地下鉄事業債の支払利息相当額を対象として平成２５年度及び平成２６年度について同意又は許可を得た地方債（以下「地下鉄事業再特例債」という。）に係る当該年度における元金償還金の額のうち総務大臣が算定して通知した額
Ｉｎ平成ｎ年度（平成２７年度以降に限る。）において発行について同意又は許可を得た地下鉄事業再特例債の額のうち総務大臣が算定して通知した額
Ｊ２７＝０．０４５
Ｋ昭和４６年度以降に建設された都道府県営の地下高速鉄道の建設に係る事業費の一部を出資する財源に充てるため平成１１年度以前の各年度において発行を許可された地方債（昭和４６年度、昭和４７年度、昭和５０年度から昭和６１年度までの各年度及び平成３年度から平成１１年度までの各年度において地方税の減収に伴い発行を許可された地方債、昭和５０年度から昭和５７年度までの各年度、昭和５９年度、平成１０年度及び平成１１年度において財政健全化のため発行を許可された地方債、地域財政特例対策債並びに当該年度の６月１日以降において借り入れた地方債を除く。）の当該年度における元利償還金
Ｌｎ昭和４６年度以降に建設された都道府県営の地下高速鉄道の建設に係る事業費の一部を出資する財源に充てるため平成ｎ年度において発行について同意又は許可を得た地方債（平成１２年度から平成２０年度までの各年度において地方税の減収に伴い発行について同意又は許可を得た地方債並びに平成１２年度から平成２０年度までの各年度において財政健全化のために発行について同意又は許可を得た地方債を除く。）の額に相当する額
Ｍ１２＝０．０３００
Ｍ１３＝０．０３１８
Ｍ１４＝０．０２１２
Ｍ１５＝０．０２４６
Ｍ１６＝０．０２５０
Ｍ１７＝０．０２５０
Ｍ１８＝０．０２５３
Ｍ１９＝０．０２５６
Ｍ２０＝０．０２５６
Ｍ２１＝０．０２４５
Ｍ２２＝０．０２４１
Ｍ２３＝０．０１３１
Ｍ２４＝０．０１２６
Ｍ２５＝０．００５４
Ｍ２６＝０．００４５
Ｍ２７＝０．００１８
Ｎ地下鉄緊急整備事業（「地下鉄緊急整備事業について」（平成６年３月３１日付け鉄財第９８号、自治企一第３７号）に基づき施行する事業をいう。）の地方単独整備区間に係る事業費に充てるため平成６年度以降の各年度において発行について同意又は許可を得た地方債（当該年度の６月１日以降に借り入れた地方債を除く。以下「地下鉄緊急整備事業債」という。）の当該年度における元利償還金を基礎として総務大臣が算定して通知した額
Ｏ地下鉄事業続特例債及び昭和５８年度から平成２年度までの各年度において発行を許可された地下鉄事業の当該年度における支払利息相当額を対象として総務大臣が調査したものの当該年度における支払利息のうち、当該地方債の年利率の１．２パーセントの範囲内で発行利率に相当する利率として計算した額として総務大臣が通知した額
Ｐ地下高速鉄道を経営する第三セクターに対し出資する財源に充てるため平成６年度以降の各年度において発行について同意又は許可を得た都市高速鉄道事業債の額のうち総務大臣が算定して通知した額に別表第三の十に定める率を乗じて得た額
Ｑ地下高速鉄道を経営する第三セクターに対し補助する財源に充てるため平成１３年度以降の各年度において発行について同意又は許可を得た都市高速鉄道事業債の額のうち総務大臣が算定して通知した額に別表第三の十に定める率を乗じて得た額
Ｒニュータウン鉄道等を経営する第三セクターに対し出資する財源に充てるため平成１０年度以降の各年度において発行について同意又は許可を得た都市高速鉄道事業債の額のうち総務大臣が算定して通知した額に別表第三の十に定める率を乗じて得た額
Ｓニュータウン鉄道等を経営する第三セクターに対し補助する財源に充てるため平成１４年度以降の各年度において発行について同意又は許可を得た都市高速鉄道事業債の額のうち総務大臣が算定して通知した額に別表第三の十に定める率を乗じて得た額
Ｔ都市モノレール事業及び案内軌条式鉄道事業（以下この表において「モノレール事業等」という。）を経営する第三セクターに対し出資する財源に充てるため昭和５２年度以降の各年度において発行を許可された都市高速鉄道事業債（平成元年度までに償還を終了したものを除く。）の額のうち総務大臣が算定して通知した額に別表第三の十に定める率を乗じて得た額
算式Ⅳ
算式Ⅳの符号
Ａ測定単位の数値
Ｂ国が行う第二種（Ａ）空港（空港整備法及び航空法の一部を改正する法律（平成２０年法律第７５号）第１条の規定による改正前の空港整備法（昭和３１年法律第８０号）第２条第１項第２号に規定する第二種空港（以下この表において「第二種空港」という。）のうち国土交通大臣が管理するものをいう。以下この表において同じ。）の整備事業に係る法令に基づく負担金又は国庫の補助金を受けて施行した第三種空港（空港整備法及び航空法の一部を改正する法律第１条の規定による改正前の空港整備法第２条第１項第３号に規定する第三種空港をいう。以下この表において同じ。）の整備事業のうち奄美群島振興開発事業として行われるものに係る経費に充てるため昭和５７年度から平成１０年度までの各年度において発行を許可された地方債（災害復旧事業債、公害防止事業債、昭和５７年度から昭和６１年度まで及び平成３年度から平成１０年度までの各年度において地方税の減収に伴い発行を許可された地方債、昭和５７年度及び昭和５９年度において財政健全化のため発行を許可された地方債、財源対策債、昭和６１年度、昭和６２年度及び平成４年度から平成１０年度までの各年度において発行を許可された補正予算債、地域財政特例対策債、臨時財政特例債、公共事業等臨時特例債、地方債計画に計上されない地方債並びに総務大臣の指定する充当の率を超える部分に係るものを除く。）の当該年度における元利償還金
Ｃｎ国が行う第二種（Ａ）空港の整備事業に係る法令に基づく負担金又は国庫の補助金を受けて施行した第三種空港の整備事業のうち奄美群島振興開発事業として行われるものに係る経費に充てるため平成ｎ年度において発行を許可をされた地方債（災害復旧事業債、公害防止事業債、平成１１年度から平成１３年度までの各年度において地方税の減収に伴い発行を許可された地方債、財源対策債、平成１１年度補正予算債及び平成１２年度補正予算債、地方債計画に計上されない地方債並びに総務大臣の指定する充当の率を超える部分に係るものを除く。）の額に相当する額
Ｄ１１＝０．０３５
Ｄ１２＝０．０３４
Ｄ１３＝０．０３４
Ｅ国庫の補助金を受けて施行した第二種（Ｂ）空港（第二種空港のうち地方団体が管理するものをいう。以下この表において同じ。）の整備事業に係る経費に充てるため昭和５７年度から平成１０年度までの各年度において発行を許可された地方債（災害復旧事業債、公害防止事業債、昭和５７年度から昭和６１年度まで及び平成３年度から平成１０年度までの各年度において地方税の減収に伴い発行を許可された地方債、昭和５７年度及び昭和５９年度において財政健全化のため発行を許可された地方債、財源対策債、昭和６１年度、昭和６２年度及び平成４年度から平成１０年度までの各年度において発行を許可された補正予算債、地域財政特例対策債、臨時財政特例債、公共事業等臨時特例債、地方債計画に計上されない地方債並びに総務大臣の指定する充当の率を超える部分に係るものを除く。）の当該年度における元利償還金
Ｆｎ国庫の補助金を受けて施行した第二種（Ｂ）空港の整備事業に係る経費に充てるため平成ｎ年度に発行を許可された地方債（災害復旧事業債、公害防止事業債、平成１１年度から平成１３年度までの各年度において地方税の減収に伴い発行を許可された地方債、財源対策債、平成１１年度補正予算債、地方債計画に計上されない地方債並びに総務大臣の指定する充当の率を超える部分に係るものを除く。）の額に相当する額
